序号,位号,类别,说明,型号
1,蜂鸣器,输出,蜂鸣器，PB6 驱动（提示音）,5V 有源蜂鸣器
2,C1,电容,去耦/滤波,待填
3,C2,电容,去耦/滤波,待填
4,C3,电容,去耦/滤波,待填
5,C4,电容,去耦/滤波,待填
6,C5,电容,去耦/滤波,待填
7,C17,电容,去耦/滤波,待填
8,C18,电容,去耦/滤波,待填
9,C19,电容,去耦/滤波,待填
10,C20,电容,去耦/滤波,待填
11,D1,电源,DC-DC 续流二极管,肖特基二极管
12,DC1,电源,DC 电源座，VIN_IN 输入,DC-005
13,DHT-11,传感器,温湿度，单总线数据 → PA12,DHT-11
14,F1,保护,输入自恢复保险丝（VIN_IN→VIN）,自恢复保险丝
15,F3,保护,5V 输出自恢复保险丝,自恢复保险丝
16,H1,接口,4pin 排针（5V/GND/5V/GND）,排针 2.54
17,H2,接口,20pin 母座：STM32 核心板左侧（VBAT/PC13-PC15/PA0-PA7/PB0/PB1/PB10/PB11/NRST）,母座 2.54×20
18,H3,接口,20pin 母座：STM32 核心板右侧（PB3-PB9/PA8-PA12/PA15 + 5V/GND/3V3）,母座 2.54×20
19,HC-05,通信,蓝牙串口，TXD/RXD → PA10/PA9（USART1）,HC-05
20,L1,电源,DC-DC 储能电感（U6 降压）,功率电感
21,OLED1,显示,板载 OLED，I2C：SCL→PB8 / SDA→PB9,4pin I2C OLED
22,Q4,驱动,调光 MOS，栅极经 R1 接 PB7（PWM）,N-MOSFET
23,R1,驱动,MOS 栅极电阻（PB7→栅极）,待填
24,R2,驱动,MOS 栅极下拉到 GND,待填
25,SW1,电源,总电源开关，串在 VIN 之前,自锁开关
26,U2,电源,5V 稳压/滤波,待填
27,U6,电源,DC-DC 降压：VIN → 5V 前级,待填
28,U7,驱动,灯驱动级（输出 $1N5，与 Q4 漏极同网）,待填
